,DateTime,f,e,spread,level,position,signal,pair1_share,pair2_share,cash,asset
3996,2020-10-21 10:15:00,10.25,5.82,-0.07299502224082843,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3997,2020-10-21 10:30:00,10.23,5.81,-0.07433088920847197,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3998,2020-10-21 10:45:00,10.21,5.83,-0.07752129462988133,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
3999,2020-10-21 11:00:00,10.2,5.84,-0.07911634945753798,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4000,2020-10-21 11:15:00,10.21,5.87,-0.07997556619808766,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4001,2020-10-21 11:30:00,10.22,5.9,-0.08082636684819722,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4002,2020-10-21 13:15:00,10.19,5.85,-0.08071131302801904,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4003,2020-10-21 13:30:00,10.17,5.86,-0.083288991885623,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4004,2020-10-21 13:45:00,10.18,5.86,-0.08230619082371504,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4005,2020-10-21 14:00:00,10.2,5.85,-0.07973043997242701,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4006,2020-10-21 14:15:00,10.21,5.86,-0.0793635697695172,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4007,2020-10-21 14:30:00,10.19,5.86,-0.08132435471145838,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4008,2020-10-21 14:45:00,10.21,5.89,-0.08119643750574967,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4009,2020-10-21 15:00:00,10.18,5.88,-0.08352914198430383,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4010,2020-10-22 09:45:00,10.12,5.76,-0.08203948852041254,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4011,2020-10-22 10:00:00,10.25,5.77,-0.06989805895212187,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4012,2020-10-22 10:15:00,10.19,5.73,-0.07327196240858269,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4013,2020-10-22 10:30:00,10.2,5.75,-0.07354173806915498,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4014,2020-10-22 10:45:00,10.23,5.75,-0.07060487839584506,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4015,2020-10-22 11:00:00,10.23,5.76,-0.07122857241619673,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4016,2020-10-22 11:15:00,10.21,5.78,-0.07442966639994397,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4017,2020-10-22 11:30:00,10.2,5.74,-0.07291695841897727,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4018,2020-10-22 13:15:00,10.23,5.76,-0.07122857241619673,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4019,2020-10-22 13:30:00,10.26,5.78,-0.06954445883389493,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4020,2020-10-22 13:45:00,10.25,5.81,-0.07237776358758996,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4021,2020-10-22 14:00:00,10.26,5.79,-0.07016491848433226,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4022,2020-10-22 14:15:00,10.26,5.81,-0.07140262942938369,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4023,2020-10-22 14:30:00,10.25,5.82,-0.07299502224082843,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4024,2020-10-22 14:45:00,10.24,5.83,-0.07458730719509399,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4025,2020-10-22 15:00:00,10.25,5.81,-0.07237776358758996,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4026,2020-10-23 09:45:00,10.27,5.84,-0.07227704580729633,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4027,2020-10-23 10:00:00,10.2,5.91,-0.08339308214501617,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4028,2020-10-23 10:15:00,10.27,5.95,-0.07897493990706606,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4029,2020-10-23 10:30:00,10.24,5.94,-0.08129658325546152,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4030,2020-10-23 10:45:00,10.22,5.95,-0.08385537907197449,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4031,2020-10-23 11:00:00,10.2,5.92,-0.08399990531305113,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4032,2020-10-23 11:15:00,10.21,5.95,-0.08483433167095855,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4033,2020-10-23 11:30:00,10.22,5.95,-0.08385537907197449,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4034,2020-10-23 13:15:00,10.19,5.95,-0.08679511661289974,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4035,2020-10-23 13:30:00,10.16,5.94,-0.08913976071648722,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4036,2020-10-23 13:45:00,10.14,5.94,-0.09111020470378617,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4037,2020-10-23 14:00:00,10.14,5.9,-0.08868495346071859,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4038,2020-10-23 14:15:00,10.12,5.91,-0.09126713857592206,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4039,2020-10-23 14:30:00,10.15,5.94,-0.09012449737902695,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4040,2020-10-23 14:45:00,10.14,5.93,-0.09050542643366422,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4041,2020-10-23 15:00:00,10.12,5.93,-0.09247976073738196,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4042,2020-10-26 09:45:00,9.96,5.86,-0.10415413034958476,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4043,2020-10-26 10:00:00,10.04,5.99,-0.10402978868743906,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4044,2020-10-26 10:15:00,10.05,5.99,-0.1030342684459371,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4045,2020-10-26 10:30:00,10.04,5.98,-0.10343006286972067,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4046,2020-10-26 10:45:00,10.01,5.99,-0.10702230962389292,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4047,2020-10-26 11:00:00,10.02,5.97,-0.10482335193318049,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4048,2020-10-26 11:15:00,9.99,5.95,-0.10661737118707082,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4049,2020-10-26 11:30:00,9.98,5.94,-0.10701511254345042,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4050,2020-10-26 13:15:00,9.95,5.92,-0.10881507443277494,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4051,2020-10-26 13:30:00,9.91,5.89,-0.11101972134042759,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4052,2020-10-26 13:45:00,9.92,5.9,-0.1106200303269742,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4053,2020-10-26 14:00:00,9.88,5.88,-0.11344164134690393,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4054,2020-10-26 14:15:00,9.9,5.96,-0.1162699538148777,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4055,2020-10-26 14:30:00,9.93,5.95,-0.11264148579045186,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4056,2020-10-26 14:45:00,9.95,5.95,-0.11062941267703152,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4057,2020-10-26 15:00:00,9.92,5.95,-0.11364904255075148,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4058,2020-10-27 09:45:00,9.87,5.91,-0.11628094898985131,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4059,2020-10-27 10:00:00,9.9,5.91,-0.11324604529469706,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4060,2020-10-27 10:15:00,9.87,5.9,-0.11567309817836557,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4061,2020-10-27 10:30:00,9.85,5.9,-0.11770149643975802,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4062,2020-10-27 10:45:00,9.83,5.89,-0.11912513552324899,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4063,2020-10-27 11:00:00,9.81,5.92,-0.12298535202600469,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4064,2020-10-27 11:15:00,9.79,5.92,-0.1250261690608574,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4065,2020-10-27 11:30:00,9.79,5.9,-0.12381149508133671,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4066,2020-10-27 13:15:00,9.8,5.91,-0.12339841675871499,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4067,2020-10-27 13:30:00,9.79,5.91,-0.12441934589282244,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4068,2020-10-27 13:45:00,9.81,5.94,-0.12419592928955159,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4069,2020-10-27 14:00:00,9.82,5.95,-0.12378084148115853,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4070,2020-10-27 14:15:00,9.84,5.98,-0.12355146606914169,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4071,2020-10-27 14:30:00,9.82,5.99,-0.12618578058464758,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4072,2020-10-27 14:45:00,9.8,5.98,-0.1276247914567772,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4073,2020-10-27 15:00:00,9.82,5.98,-0.1255860547669292,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4074,2020-10-28 09:45:00,9.72,5.95,-0.13401634537518525,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4075,2020-10-28 10:00:00,9.54,5.93,-0.15149993913650617,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4076,2020-10-28 10:15:00,9.57,5.91,-0.14714759697037838,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4077,2020-10-28 10:30:00,9.54,5.89,-0.14907058422212893,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4078,2020-10-28 10:45:00,9.54,5.9,-0.14967946616356054,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4079,2020-10-28 11:00:00,9.59,5.89,-0.14384318078697733,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4080,2020-10-28 11:15:00,9.55,5.88,-0.14741299861404134,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4081,2020-10-28 11:30:00,9.6,5.91,-0.14401770396145075,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4082,2020-10-28 13:15:00,9.7,5.94,-0.13547231735748633,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4083,2020-10-28 13:30:00,9.66,5.94,-0.13960455464239652,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4084,2020-10-28 13:45:00,9.71,5.93,-0.13383714229346788,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4085,2020-10-28 14:00:00,9.67,5.92,-0.1373593161380735,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4086,2020-10-28 14:15:00,9.68,5.95,-0.1381400625590472,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4087,2020-10-28 14:30:00,9.68,5.94,-0.13753630157833752,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4088,2020-10-28 14:45:00,9.65,5.94,-0.1406402875159285,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
4089,2020-10-28 15:00:00,9.69,5.95,-0.1371075379448583,-1,0,0,0,0.0,5091.950000000005,5091.950000000005
