,DateTime,e,d,spread,level,position,signal,pair1_share,pair2_share,cash,asset
85,2019-10-15 11:00:00,4.51,9.83,0.034470084859652195,1,0,0,0,0.0,5000.0,5000.0
86,2019-10-15 11:15:00,4.51,9.82,0.03570057144036176,1,0,0,0,0.0,5000.0,5000.0
87,2019-10-15 11:30:00,4.52,9.85,0.034227702877464905,1,0,0,0,0.0,5000.0,5000.0
88,2019-10-15 13:15:00,4.51,9.83,0.034470084859652195,1,0,0,0,0.0,5000.0,5000.0
89,2019-10-15 13:30:00,4.51,9.83,0.034470084859652195,1,0,0,0,0.0,5000.0,5000.0
90,2019-10-15 13:45:00,4.5,9.82,0.03348081470204911,1,0,0,0,0.0,5000.0,5000.0
91,2019-10-15 14:00:00,4.51,9.83,0.034470084859652195,1,0,0,0,0.0,5000.0,5000.0
92,2019-10-15 14:15:00,4.52,9.83,0.036684925189205186,1,0,0,0,0.0,5000.0,5000.0
93,2019-10-15 14:30:00,4.51,10.16,-0.005448947103085855,0,0,2,0,0.0,5000.0,5000.0
94,2019-10-15 14:45:00,4.51,10.14,-0.0030667730098012935,0,0,0,0,0.0,5000.0,5000.0
95,2019-10-15 15:00:00,4.49,10.17,-0.011082727991578167,0,0,0,0,0.0,5000.0,5000.0
96,2019-10-16 09:45:00,4.56,10.14,0.007958697001906545,0,0,0,0,0.0,5000.0,5000.0
97,2019-10-16 10:00:00,4.56,10.13,0.009151546591704252,0,0,0,0,0.0,5000.0,5000.0
98,2019-10-16 10:15:00,4.54,10.11,0.007145170997449268,0,0,0,0,0.0,5000.0,5000.0
99,2019-10-16 10:30:00,4.54,10.07,0.011937855019225063,0,0,0,0,0.0,5000.0,5000.0
100,2019-10-16 10:45:00,4.54,10.05,0.014341340823144977,1,0,0,0,0.0,5000.0,5000.0
101,2019-10-16 11:00:00,4.55,10.09,0.01173935894907907,0,0,2,0,0.0,5000.0,5000.0
102,2019-10-16 11:15:00,4.55,10.02,0.020155773576042035,1,0,0,0,0.0,5000.0,5000.0
103,2019-10-16 11:30:00,4.52,9.98,0.018376352749806868,1,0,0,0,0.0,5000.0,5000.0
104,2019-10-16 13:15:00,4.54,10.0,0.020371043901923125,1,0,0,0,0.0,5000.0,5000.0
105,2019-10-16 13:30:00,4.51,9.99,0.014950743204201311,1,0,0,0,0.0,5000.0,5000.0
106,2019-10-16 13:45:00,4.51,9.98,0.016161512420253876,1,0,0,0,0.0,5000.0,5000.0
107,2019-10-16 14:00:00,4.51,9.97,0.01737349544023581,1,0,0,0,0.0,5000.0,5000.0
108,2019-10-16 14:15:00,4.51,9.96,0.01858669470028107,1,0,0,0,0.0,5000.0,5000.0
109,2019-10-16 14:30:00,4.5,9.94,0.018796994983525606,1,0,0,0,0.0,5000.0,5000.0
110,2019-10-16 14:45:00,4.51,9.93,0.022233614392445533,1,0,0,0,0.0,5000.0,5000.0
111,2019-10-16 15:00:00,4.5,9.92,0.021231946383054145,1,0,0,0,0.0,5000.0,5000.0
112,2019-10-17 09:45:00,4.51,9.86,0.030786121741303907,1,0,0,0,0.0,5000.0,5000.0
113,2019-10-17 10:00:00,4.5,9.89,0.0248935936885728,1,0,0,0,0.0,5000.0,5000.0
114,2019-10-17 10:15:00,4.48,9.87,0.02288651737565628,1,0,0,0,0.0,5000.0,5000.0
115,2019-10-17 10:30:00,4.48,9.78,0.03396097308567292,1,0,0,0,0.0,5000.0,5000.0
116,2019-10-17 10:45:00,4.49,9.81,0.03248785994051806,1,0,0,0,0.0,5000.0,5000.0
117,2019-10-17 11:00:00,4.49,9.79,0.034955111738029565,1,0,0,0,0.0,5000.0,5000.0
118,2019-10-17 11:15:00,4.49,9.81,0.03248785994051806,1,0,0,0,0.0,5000.0,5000.0
119,2019-10-17 11:30:00,4.51,9.8,0.03816530819861952,1,0,0,0,0.0,5000.0,5000.0
120,2019-10-17 13:15:00,4.49,9.83,0.030025633099228344,1,0,0,0,0.0,5000.0,5000.0
121,2019-10-17 13:30:00,4.49,9.82,0.03125611967993791,1,0,0,0,0.0,5000.0,5000.0
122,2019-10-17 13:45:00,4.5,9.83,0.032250328121339544,1,0,0,0,0.0,5000.0,5000.0
